Score,Tokens,Count,Source Code
12.262388523751017,8,17,"[';', 'import', 'com', '.', 'iluwatar', '.', 'abstractdocument', '.']"
12.150460408295043,6,26,"[';', 'import', 'java', '.', 'util', '.']"
11.693238026096221,6,23,"['com', '.', 'iluwatar', '.', 'abstractdocument', '.']"
11.491983086292901,10,11,"[';', 'import', 'com', '.', 'iluwatar', '.', 'abstractdocument', '.', 'domain', '.']"
11.474958926111698,7,17,"[';', 'import', 'com', '.', 'iluwatar', '.', 'abstractdocument']"
11.474958926111698,7,17,"['import', 'com', '.', 'iluwatar', '.', 'abstractdocument', '.']"
11.474958926111698,7,17,"['com', '.', 'iluwatar', '.', 'abstractdocument', '.', 'domain']"
11.279882557015576,5,29,"['com', '.', 'iluwatar', '.', 'abstractdocument']"
10.966138778698415,9,11,"[';', 'import', 'com', '.', 'iluwatar', '.', 'abstractdocument', '.', 'domain']"
10.966138778698415,9,11,"['import', 'com', '.', 'iluwatar', '.', 'abstractdocument', '.', 'domain', '.']"
10.914083039876235,5,26,"[';', 'import', 'java', '.', 'util']"
10.914083039876235,5,26,"['import', 'java', '.', 'util', '.']"
10.77909975954799,6,18,"['Map', '<', 'String', ',', 'Object', '>']"
10.565938167723278,6,17,"[';', 'import', 'com', '.', 'iluwatar', '.']"
10.565938167723278,6,17,"['import', 'com', '.', 'iluwatar', '.', 'abstractdocument']"
10.565938167723278,6,17,"['.', 'iluwatar', '.', 'abstractdocument', '.', 'domain']"
10.50338559473241,5,23,"['.', 'iluwatar', '.', 'abstractdocument', '.']"
10.378294855911893,8,11,"['import', 'com', '.', 'iluwatar', '.', 'abstractdocument', '.', 'domain']"
10.378294855911893,8,11,"['com', '.', 'iluwatar', '.', 'abstractdocument', '.', 'domain', '.']"
9.715961990255144,4,29,"['com', '.', 'iluwatar', '.']"
9.715961990255144,4,29,"['.', 'iluwatar', '.', 'abstractdocument']"
9.711852382103121,7,11,"['.', 'iluwatar', '.', 'abstractdocument', '.', 'domain', '.']"
9.68226601442213,5,18,"['Map', '<', 'String', ',', 'Object']"
9.68226601442213,5,18,"['<', 'String', ',', 'Object', '>']"
9.490794807907285,5,17,"[';', 'import', 'com', '.', 'iluwatar']"
9.490794807907285,5,17,"['import', 'com', '.', 'iluwatar', '.']"
9.490794807907285,5,17,"['iluwatar', '.', 'abstractdocument', '.', 'domain']"
9.400879436282183,4,26,"[';', 'import', 'java', '.']"
9.400879436282183,4,26,"['import', 'java', '.', 'util']"
9.400879436282183,4,26,"['java', '.', 'util', '.']"
9.26699363085573,6,12,"['package', 'com', '.', 'iluwatar', '.', 'abstractdocument']"
9.047123912114026,4,23,"['iluwatar', '.', 'abstractdocument', '.']"
9.0,8,8,"['=', 'new', 'HashMap', '<', '>', '(', ')', ';']"
8.942501007986504,6,11,"['iluwatar', '.', 'abstractdocument', '.', 'domain', '.']"
8.942501007986504,6,11,"['new', 'HashMap', '<', '>', '(', ')']"
8.840404360733235,14,5,"['package', 'com', '.', 'iluwatar', '.', 'abstractdocument', '.', 'domain', ';', 'import', 'java', '.', 'util', '.']"
8.592154944988874,13,5,"['package', 'com', '.', 'iluwatar', '.', 'abstractdocument', '.', 'domain', ';', 'import', 'java', '.', 'util']"
8.592154944988874,13,5,"['com', '.', 'iluwatar', '.', 'abstractdocument', '.', 'domain', ';', 'import', 'java', '.', 'util', '.']"
8.587059555375902,6,10,"['(', ')', '.', 'get', '(', ')']"
8.587059555375902,10,6,"['package', 'com', '.', 'iluwatar', '.', 'abstractdocument', '.', 'domain', ';', 'import']"
8.422064766172813,7,8,"['=', 'new', 'HashMap', '<', '>', '(', ')']"
8.422064766172813,7,8,"['new', 'HashMap', '<', '>', '(', ')', ';']"
8.422064766172813,7,8,"['(', ')', '.', 'get', '(', ')', ')']"
8.422064766172813,8,7,"['org', '.', 'junit', '.', 'jupiter', '.', 'api', '.']"
8.422064766172813,8,7,"[';', 'import', 'java', '.', 'util', '.', 'Map', ';']"
8.422064766172813,8,7,"['(', ')', '.', 'get', '(', ')', ')', ';']"
8.339850002884624,4,18,"['Map', '<', 'String', ',']"
8.339850002884624,4,18,"['<', 'String', ',', 'Object']"
8.339850002884624,4,18,"['String', ',', 'Object', '>']"
8.324025149542107,5,12,"['package', 'com', '.', 'iluwatar', '.']"
8.324025149542107,12,5,"['package', 'com', '.', 'iluwatar', '.', 'abstractdocument', '.', 'domain', ';', 'import', 'java', '.']"
8.324025149542107,12,5,"['com', '.', 'iluwatar', '.', 'abstractdocument', '.', 'domain', ';', 'import', 'java', '.', 'util']"
8.324025149542107,12,5,"['.', 'iluwatar', '.', 'abstractdocument', '.', 'domain', ';', 'import', 'java', '.', 'util', '.']"
8.194137258826833,9,6,"[';', 'import', 'java', '.', 'util', '.', 'Map', ';', 'import']"
8.194137258826833,9,6,"['package', 'com', '.', 'iluwatar', '.', 'abstractdocument', '.', 'domain', ';']"
8.194137258826833,9,6,"['com', '.', 'iluwatar', '.', 'abstractdocument', '.', 'domain', ';', 'import']"
8.174925682500678,4,17,"[';', 'import', 'com', '.']"
8.174925682500678,4,17,"['import', 'com', '.', 'iluwatar']"
8.174925682500678,4,17,"['.', 'abstractdocument', '.', 'domain']"
